time,Volt,Volt2,Cai,CaSR,Nai,Ki,M,H,J,Xr1,Xr2,Xs,S,R,D,F,FCa,G,Itot
265,-54.0582,-86.2,0.000197147,0.564615,11.5785,138.295,0.86,0.00359011,0.000984081,0.949812,0.17354,0.137312,0.482763,0.000308512,0.00178369,0.265687,0.983082,0.96414,1.98197
270,-64.8824,-86.2,0.000191022,0.56603,11.5787,138.294,0.76,0.0175903,0.0039647,0.939729,0.248831,0.107746,0.531801,0.000171555,0.000407392,0.296417,0.988405,0.971921,2.21894
275,-74.4895,-86.2,0.000184164,0.567579,11.5791,138.293,0.45,0.0827807,0.0139862,0.915646,0.344196,0.058307,0.637289,7.97613e-05,0.000104465,0.337463,0.991588,0.977263,1.49665
280,-79.7412,-86.2,0.000177372,0.569069,11.5797,138.292,0.24,0.244768,0.0398016,0.870538,0.40686,0.0203113,0.767765,3.02223e-05,4.91329e-05,0.37746,0.994116,0.981737,0.741885
285,-81.5177,-86.2,0.000170921,0.570463,11.5804,138.291,0.19,0.4476,0.0788335,0.811974,0.431121,0.0073251,0.862652,1.00903e-05,3.74372e-05,0.415138,0.996085,0.985344,0.232852
290,-82.2021,-86.2,0.000164901,0.57176,11.5812,138.291,0.15,0.611678,0.120859,0.751977,0.439044,0.00459612,0.920237,3.2451e-06,3.40139e-05,0.450546,0.997597,0.988183,0.105587
295,-83.8986,-86.2,0.000159272,0.572963,11.5817,138.291,0.07,0.742164,0.166292,0.689814,0.454893,0.00381287,0.954496,1.00346e-06,2.74362e-05,0.483818,0.99877,0.990411,0.291932
300,-84.866,-86.2,0.000153999,0.574078,11.5822,138.291,0.05,0.840379,0.215096,0.625314,0.466065,0.00343105,0.974468,3.03725e-07,2.39406e-05,0.515081,0.999696,0.992173,0.166895
305,-85.5262,-86.2,0.000149074,0.57511,11.5827,138.291,0.02,0.90332,0.264313,0.562326,0.473511,0.00322632,0.98579,9.99661e-08,2.18312e-05,0.544453,1.00044,0.99357,0.0824821
310,-85.7818,-86.2,0.000144482,0.576062,11.5831,138.291,0.02,0.939405,0.312133,0.503308,0.476658,0.00313143,0.992123,4.29531e-08,2.10345e-05,0.572047,1.00104,0.994682,0.0276941
315,-85.8768,-86.2,0.000140205,0.57694,11.5834,138.291,0.02,0.958501,0.357407,0.44968,0.477819,0.00309611,0.995639,2.73647e-08,2.07471e-05,0.597969,1.00154,0.995569,0.00882887
320,-85.924,-86.2,0.000136221,0.577749,11.5838,138.291,0.01,0.96829,0.399872,0.401499,0.478327,0.00308253,0.997587,2.31061e-08,2.06151e-05,0.622321,1.00195,0.996282,0.00733028
325,-85.9403,-86.2,0.000132507,0.578493,11.5842,138.291,0,0.973273,0.439609,0.358343,0.478528,0.00307597,0.998664,2.19063e-08,2.05693e-05,0.645198,1.0023,0.996858,0.00865486
330,-85.966,-86.2,0.000129041,0.579177,11.5845,138.291,0.01,0.975804,0.476736,0.319759,0.478787,0.0030711,0.999261,2.15382e-08,2.04978e-05,0.666688,1.0026,0.997326,0.00551713
335,-85.9886,-86.2,0.000125804,0.579805,11.5848,138.291,0.01,0.977119,0.511434,0.285259,0.47903,0.00306601,0.99959,2.13806e-08,2.04342e-05,0.686877,1.00287,0.99771,0.00384727
340,-85.8996,-86.2,0.000122779,0.58038,11.5851,138.291,0.04,0.977743,0.543784,0.254496,0.478464,0.00307123,0.999773,2.13841e-08,2.06228e-05,0.705843,1.0031,0.998026,-0.0473275
345,-85.5076,-86.2,0.000119955,0.580905,11.5855,138.291,0.05,0.977531,0.573473,0.227551,0.475191,0.0031227,0.999873,2.19944e-08,2.16124e-05,0.723659,1.0033,0.998287,-0.0398424
350,-85.4438,-86.2,0.000117319,0.581385,11.5858,138.291,0.05,0.976652,0.600449,0.204181,0.473276,0.00318179,0.999929,2.29757e-08,2.19917e-05,0.740395,1.00348,0.998505,-0.0315861
355,-85.7895,-86.2,0.000114845,0.581823,11.5861,138.291,0.03,0.976687,0.626047,0.182881,0.476576,0.00313422,0.99996,2.26274e-08,2.10333e-05,0.756118,1.00364,0.998687,0.0269708
360,-85.8675,-86.2,0.000112519,0.582221,11.5864,138.291,0.03,0.977251,0.650439,0.163388,0.477946,0.00309349,0.999977,2.19796e-08,2.07295e-05,0.770888,1.00379,0.998841,0.0106623
365,-85.7527,-86.2,0.000110336,0.582583,11.5867,138.291,0.04,0.977449,0.673171,0.146004,0.476707,0.00310536,0.999986,2.19421e-08,2.10825e-05,0.784764,1.00393,0.998972,-0.017843
370,-85.7797,-86.2,0.000108289,0.582909,11.587,138.291,0.01,0.977215,0.694133,0.130681,0.476351,0.00312648,0.999992,2.22648e-08,2.1091e-05,0.797799,1.00405,0.999083,0.0726625
375,-85.9164,-86.2,0.00010636,0.583204,11.5872,138.291,0.05,0.977651,0.714072,0.116692,0.478613,0.00308052,0.999994,2.17316e-08,2.05551e-05,0.810044,1.00416,0.999178,-0.15241
380,-85.7823,-86.2,0.000104548,0.583468,11.5875,138.291,0.02,0.977536,0.73249,0.104341,0.476711,0.00311035,0.999996,2.19866e-08,2.10491e-05,0.821547,1.00427,0.99926,0.0650215
